Sr.No,Review_Title,Review_Text,Review_Rating,Buyer_Type,Review_Date,Upvote,Downvote,read,Sum_of_Up_Down,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,h,Len_after,POS
1,Classy product,"good lui 
  shone camera lover",5,Certified Buyer,4 months ago,704,88,,792,9,1,0,14,0,5,0,0.89,5,PROPN PROPN SPACE NOUN PROPN NOUN
2,Must buy!,"5 year young brother phone buy phone 7 birthday gift . give gift packet think brow buy watchpenor didn expect phone 7 . open , find tear eye hug . 
 
  possible flipkart sale co r middle class family afford mobile actual price flipkart make happy . 
 
  thank flipkart",5,Certified Buyer,4 months ago,2100,314,,2414,89,5,0,9,0,1,0,0.87,48,NUM NOUN ADJ NOUN NOUN VERB NOUN NUM NOUN NOUN PUNCT VERB NOUN NOUN VERB PROPN VERB PROPN PROPN VERB NOUN NUM PUNCT VERB PUNCT VERB ADJ NOUN NOUN PUNCT SPACE ADJ ADJ NOUN NOUN ADJ ADJ NOUN NOUN VERB ADJ ADJ NOUN NOUN VERB ADJ PUNCT SPACE VERB PROPN
3,Excellent,click photo wall painting,5,Certified Buyer,5 months ago,1062,160,,1222,7,1,0,3,0,,0,0.87,4,VERB PROPN NOUN NOUN
4,Pretty good,expect,4,Certified Buyer,4 months ago,1394,224,,1618,5,1,0,3,0,,1,0.86,1,VERB
5,Highly recommended,superb product ... like,5,Certified Buyer,"Dec, 2018",400,66,,466,6,1,0,1,0,,0,0.86,4,ADJ NOUN PUNCT SCONJ
6,Mind-blowing purchase,"shone 
  love",5,Certified Buyer,4 months ago,152,21,,173,7,1,0,2,0,,0,0.88,2,NOUN SPACE NOUN
7,Best in the market!,black beauty ... perfect ...,5,Certified Buyer,"Apr, 2018",1970,388,,2358,5,1,0,,0,,0,0.84,5,ADJ NOUN PUNCT ADJ PUNCT
8,Must buy!,"Works perfectly fine 1.5 year . 
  great camera .",5,Certified Buyer,"Aug, 2018",904,178,,1082,9,2,0,,0,,0,0.84,9,PROPN ADV ADJ NUM NOUN PUNCT SPACE ADJ NOUN PUNCT
9,Excellent,love Apple,5,Certified Buyer,"Oct, 2018",395,73,,468,2,1,0,,0,,1,0.84,2,NOUN PROPN
10,Simply awesome,nice product thank flipkart,5,Certified Buyer,"Nov, 2018",1085,237,,1322,5,1,0,,0,,0,0.82,4,ADJ NOUN VERB ADJ
11,Fabulous!,good,5,Certified Buyer,"Oct, 2018",208,38,,246,1,1,0,,0,,0,0.85,1,ADJ
12,Perfect product!,"happy product delivery 
  North money",5,Certified Buyer,5 months ago,248,49,,297,11,1,0,,0,,0,0.84,5,ADJ NOUN NOUN SPACE ADJ NOUN
13,Excellent,IPHONE MILLION HEART,5,Certified Buyer,3 months ago,84,13,,97,4,1,0,,4,,0,0.87,3,NOUN NUM PROPN
14,Great product,great photography,5,Certified Buyer,5 months ago,131,24,,155,2,1,0,,0,,0,0.85,2,ADJ NOUN
15,Wonderful,excellent camera,5,Certified Buyer,"Feb, 2019",102,18,,120,2,1,0,1,0,,0,0.85,2,ADJ NOUN
16,Pretty good,"early version iphone great change personal . purchase rose gold phone realise go black colour . camera iphone superior sense . phone sleek light weight slippery . delivery promise . thing note , henceforth phone India product .",4,Certified Buyer,4 months ago,408,97,,505,72,6,0,,0,,0,0.81,38,ADJ NOUN NOUN ADJ NOUN ADJ PUNCT NOUN VERB ADJ NOUN NOUN VERB ADJ NOUN PUNCT PROPN PROPN ADJ NOUN PUNCT NOUN ADJ ADJ NOUN NOUN PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT ADV NOUN PROPN NOUN PUNCT
17,Awesome,", ... shone awesome expect . add prompt delivery Flipkart great packing . truly satisfied ... 
 
  lightning connection air pad amazing huge upgrade voice quality compare old shone earphone . 
  con con like tireless Air Rods phone , see performance lightning connection air pad regret .",5,Certified Buyer,"Oct, 2016",168,36,,204,78,5,0,,0,,0,0.82,46,PUNCT PUNCT NOUN ADJ VERB PUNCT VERB ADJ NOUN PROPN ADJ NOUN PUNCT ADV ADJ PUNCT SPACE NOUN NOUN NOUN NOUN ADJ ADJ NOUN NOUN NOUN VERB ADJ NOUN NOUN PUNCT SPACE X X SCONJ NOUN PROPN PROPN NOUN PUNCT VERB NOUN NOUN NOUN NOUN NOUN NOUN PUNCT
18,Good choice,love phone 7 super quality,4,Certified Buyer,3 months ago,79,14,,93,7,1,0,,0,,0,0.85,5,NOUN NOUN NUM ADJ NOUN
19,Perfect product!,word ... awesome,5,Certified Buyer,"Oct, 2018",171,38,,209,5,1,0,,0,,0,0.82,3,NOUN PUNCT ADJ
20,Awesome,Expecticular Product ... phone good .... good handling slim piece ..,5,Certified Buyer,"Nov, 2018",213,51,,264,17,1,0,,0,,0,0.81,11,PROPN NOUN PUNCT NOUN NOUN PUNCT ADJ VERB ADJ NOUN PUNCT
21,Best smart mobile,"shone 7 legitimate interesting , powerful phone Apple ship . 10 excellent , camera well , performance phenomena . battery longer .",5,Certified Buyer,"May, 2017",623,174,,797,33,3,0,,0,,0,0.78,22,NOUN NUM ADJ ADJ PUNCT ADJ NOUN PROPN NOUN PUNCT NUM NOUN PUNCT NOUN ADV PUNCT NOUN NOUN PUNCT NOUN ADV PUNCT
22,Value-for-money,satisfied .. product receive day ..,4,Certified Buyer,"Dec, 2018",149,34,,183,7,2,0,,0,,0,0.81,6,ADJ PUNCT NOUN VERB NOUN PUNCT
23,Fabulous!,awesome phone . delivery late .,5,Certified Buyer,"Oct, 2018",208,51,,259,7,2,0,,0,,0,0.8,6,PROPN NOUN PUNCT NOUN ADV PUNCT
24,Iphone 7 and Flipkart experience,"receive Phone 7 day launch . 
  thank Flipkart super super fast delivery excellent packing phone 7 . 
 
  recently switch andro IOS . review base . 
  Gros 
  Performance amazing make worth compare phone apart look , light weight etc . 
  play high end graphic game , phone little bit heat compare andro observe power drainage tool quickly . 
  play high end graphic game alternatively twitch alternatively didn see law . 
  game run smooth experience andro phone . 
 
  Sons 
  Multi- take ease currently struggle . switch andro IOS .",5,Certified Buyer,"Oct, 2016",127,29,READ MORE,156,155,10,0,,0,,0,0.81,87,VERB NOUN NUM NOUN NOUN PUNCT SPACE VERB PROPN ADV ADV ADJ NOUN ADJ VERB NOUN NUM PUNCT SPACE ADV VERB NOUN PROPN PROPN PROPN NOUN PUNCT SPACE PROPN SPACE NOUN ADJ VERB ADJ VERB NOUN ADV NOUN PUNCT ADJ NOUN X PUNCT SPACE VERB ADJ NOUN ADJ NOUN PUNCT NOUN ADJ NOUN NOUN NOUN PROPN VERB NOUN NOUN NOUN ADV PUNCT SPACE VERB ADJ NOUN ADJ NOUN ADV VERB ADV PROPN VERB NOUN PUNCT SPACE NOUN VERB ADJ NOUN NOUN NOUN PUNCT SPACE NOUN SPACE PROPN VERB NOUN ADV VERB PUNCT VERB NOUN PROPN PUNCT
25,"Sexy got black, really black!","Flipkart delivery service - thank lot , receive earlier promise . receive chocolate gun , feel nice . multiplied joy receive new phone . 
 
  shone . 
 
  packaging - - neat   superior 
 
  phone - feel great . personally choose shone 7 7 size . move shone 5 7 absolutely owner term size , size suit . specification wise - explore . 
 
  hat evidently different - home button number 3 pressure press feel weird . number 1 option yes course - audit jack . receive wired earphone better know lightne compatible earphone . end wired earphone connect slot lightning connection .",5,Certified Buyer,"Oct, 2016",3226,1034,READ MORE,4260,142,13,0,,0,,0,0.76,99,PROPN NOUN NOUN PUNCT NOUN NOUN PUNCT VERB ADJ NOUN PUNCT VERB NOUN NOUN PUNCT VERB ADJ PUNCT ADJ NOUN VERB ADJ NOUN PUNCT SPACE NOUN PUNCT SPACE NOUN PUNCT PUNCT ADJ SPACE ADJ SPACE NOUN PUNCT VERB ADJ PUNCT ADV VERB NOUN NUM NUM NOUN PUNCT VERB NOUN NUM NUM ADV NOUN NOUN NOUN PUNCT NOUN NOUN PUNCT NOUN ADJ PUNCT NOUN PUNCT SPACE NOUN ADV ADJ PUNCT NOUN NOUN NOUN NUM NOUN NOUN VERB ADJ PUNCT NOUN NUM NOUN INTJ NOUN PUNCT NOUN NOUN PUNCT VERB PROPN NOUN ADV VERB PROPN ADJ NOUN PUNCT NOUN PROPN PROPN PROPN NOUN NOUN NOUN PUNCT
