Sr_No,Review_Title,Review_Text,Review_Rating,Buyer_Type,Review_Date,Upvote,Downvote,Read,Sum_of_Up_Down,No_of_Pics,Gender,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,h
1,Classy product,"Too good luv it
 iPhone is only camera lovers",5,Certified Buyer,4 months ago,704,88,,792,2,M,9,1,0,14.0,0,5.0,0,0.89
2,Must buy!,"From last 5 years my younger brother was using iphone 4s and i bought iphone 7 for his birthday gift. When i gave gift packet to him he was thinking that my bro bought watch/pen/or something else but he didn't expected iphone 7 . When he opened, i found tear in his eye and he hug me.
 
 this all possible only because of flipkart sale coz we r from middle class family and can't afford this mobile in it's actual price so flipkart makes us happy.
 
 Thanks you flipkart",5,Certified Buyer,4 months ago,2100,314,,2414,0,M,89,5,0,9.0,0,1.0,0,0.87
3,Excellent,I click this photo on wall painting,5,Certified Buyer,5 months ago,1062,160,,1222,1,X,7,1,0,3.0,0,,0,0.87
4,Pretty good,It was as expected ❤,4,Certified Buyer,4 months ago,1394,224,,1618,1,F,5,1,0,3.0,0,,1,0.86
5,Highly recommended,superb product...i liked it very much,5,Certified Buyer,2018-12-01 00:00:00,400,66,,466,1,M,6,1,0,1.0,0,,0,0.86
6,Mind-blowing purchase,"it's my first iPhone
 I love it",5,Certified Buyer,4 months ago,152,21,,173,4,X,7,1,0,2.0,0,,0,0.88
7,Best in the market!,black beauty... everything is perfect...,5,Certified Buyer,2018-04-01 00:00:00,1970,388,,2358,1,M,5,1,0,,0,,0,0.84
8,Must buy!,"Works perfectly fine even after 1.5 years.
 Great camera.",5,Certified Buyer,2018-08-01 00:00:00,904,178,,1082,1,M,9,2,0,,0,,0,0.84
9,Excellent,Love Apple❤,5,Certified Buyer,2018-10-01 00:00:00,395,73,,468,2,X,2,1,0,,0,,1,0.84
10,Simply awesome,nice products thanks for flipkart,5,Certified Buyer,2018-11-01 00:00:00,1085,237,,1322,5,M,5,1,0,,0,,0,0.82
11,Fabulous!,best,5,Certified Buyer,2018-10-01 00:00:00,208,38,,246,1,X,1,1,0,,0,,0,0.85
12,Perfect product!,"Very happy with the product as well as delivery
 Worth money",5,Certified Buyer,5 months ago,248,49,,297,5,F,11,1,0,,0,,0,0.84
13,Excellent,IPHONE MILLION OF HEART,5,Certified Buyer,3 months ago,84,13,,97,5,M,4,1,0,,4,,0,0.87
14,Great product,Great photography,5,Certified Buyer,5 months ago,131,24,,155,2,M,2,1,0,,0,,0,0.85
15,Wonderful,excellent camera,5,Certified Buyer,2019-02-01 00:00:00,102,18,,120,2,M,2,1,0,1.0,0,,0,0.85
16,Pretty good,"I have been using the earlier versions of iPhones therefore no great change with the UI on personal front. I purchased a rose gold phone but I realised that I should have gone with the black colour. The camera of iPhones are superior in all sense. The phone is sleek and light weight but slippery. Delivery was as promised. Another thing to note is, henceforth the phone are “Made in India” products.",4,Certified Buyer,4 months ago,408,97,,505,5,X,72,6,0,,0,,0,0.81
17,Awesome,"Well, what can I say... iPhone is awesome as expected. Added the prompt delivery from Flipkart with great packaging. Truly satisfied...
 
 The lightening connector Air pods are amazing and a huge upgrade in voice quality when we compared it with an old iPhone earphone.
 Only con: Not a con really but I would have liked wireless Air Pods with this phone, but after seeing the performance of my lightening connector Air pods I have no regrets at all.",5,Certified Buyer,2016-10-01 00:00:00,168,36,,204,0,M,78,5,0,,0,,0,0.82
18,Good choice,i love i phone 7 super quality,4,Certified Buyer,3 months ago,79,14,,93,5,M,7,1,0,,0,,0,0.85
19,Perfect product!,in one word... just awesome,5,Certified Buyer,2018-10-01 00:00:00,171,38,,209,4,M,5,1,0,,0,,0,0.82
20,Awesome,Expecticular Product... everything on the phone would be very good.... good for handaling and very slim pice..,5,Certified Buyer,2018-11-01 00:00:00,213,51,,264,2,M,17,1,0,,0,,0,0.81
21,Best smart mobile,"The iPhone 7 is legitimately among the most interesting, powerful phone Apple has ever shipped. iOS 10 is excellent, the cameras are better, and the performance is phenomenal. And the batteries last longer.",5,Certified Buyer,2017-05-01 00:00:00,623,174,,797,0,M,33,3,0,,0,,0,0.78
22,Value-for-money,Very satisfied.. Product received with in 2days..,4,Certified Buyer,2018-12-01 00:00:00,149,34,,183,2,F,7,2,0,,0,,0,0.81
23,Fabulous!,awesome phone. but delivery was too late.,5,Certified Buyer,2018-10-01 00:00:00,208,51,,259,2,M,7,2,0,,0,,0,0.8
24,Iphone 7 and Flipkart experience,"Received Iphone 7 on the very same day when it was launched.
 Thank you Flipkart for super super fast delivery and an excellent packing of Iphone 7.
 
 Recently switched from android to IOS. So my review will be based on that.
 Pros :
 Performance: which is really amazing and that what it makes it worth for as compared to other phones apart from looks, light weight etc.
 While playing high end graphics game, the phone do get little bit heat up however as compared to android you will not observe too much of power drainage and also it cools down very quickly.
 Played two three high end graphics game alternatively/ switching alternatively and i didn`t saw any lag.
 All the games were running so smooth that i have never experienced in any of the android phones.
 
 Cons:
 Multi- tasking ease where i am currently struggling. May be just because i switched from android to IOS.",5,Certified Buyer,2016-10-01 00:00:00,127,29,READ MORE,156,0,M,155,10,0,,0,,0,0.81
25,"Sexy got black, really black!","First to Flipkart delivery service - Thanks a lot, I received it earlier than promised. I also received a chocolate from you guys, it felt really nice. Multiplied my joys of receiving my new phone.
 
 Now to the iPhone.
 
 Packaging - As always - neat & superior!
 
 The phone - It feels great. I personally chose the iPhone 7 over 7+ because of the size. Moving from iPhone 5 to 7 was absolutely no downer in terms of size, the size suited me well. Specifications wise - still exploring. ;)
 
 What's evidently different - the home button (the number 3 pressure press feels quite weird. Chose number 1 option) and yes of course the no-audio jack. So you do receive wired earphones better known as lightning compatible earphones. The end of your wired earphones connect to the slot of the lightning connector.",5,Certified Buyer,2016-10-01 00:00:00,3226,1034,READ MORE,4260,0,F,142,13,0,,0,,0,0.76
