Sr_No,Review_Title,Review_Text,Review_Rating,Review_Date,Upvote,Downvote,Sum_of_Up_Down,Len_before,Num_Sentence,No_QMark,No_ExMark,No_Upper,No_proper,Emoji_Count,Len_after,POS,Perc_Noun,Perc_Verb,Perc_Adverb,Perc_Adj,h,ReviewTitle_Sentiment
1,Classy product,"good lui 
  shone camera lover",5,4 months ago,704,88,792,9,1,0,14.0,0,5.0,0,5,PROPN PROPN SPACE NOUN PROPN NOUN,33.33,0.0,0.0,0.0,0.89,neu
2,Must buy!,"5 year young brother phone buy phone 7 birthday gift . give gift packet think brow buy watchpenor didn expect phone 7 . open , find tear eye hug . 
 
  possible flipkart sale co r middle class family afford mobile actual price flipkart make happy . 
 
  thank flipkart",5,4 months ago,2100,314,2414,89,5,0,9.0,0,1.0,0,48,NUM NOUN ADJ NOUN NOUN VERB NOUN NUM NOUN NOUN PUNCT VERB NOUN NOUN VERB PROPN VERB PROPN PROPN VERB NOUN NUM PUNCT VERB PUNCT VERB ADJ NOUN NOUN PUNCT SPACE ADJ ADJ NOUN NOUN ADJ ADJ NOUN NOUN VERB ADJ ADJ NOUN NOUN VERB ADJ PUNCT SPACE VERB PROPN,34.0,20.0,0.0,18.0,0.87,neu
3,Excellent,click photo wall painting,5,5 months ago,1062,160,1222,7,1,0,3.0,0,,0,4,VERB PROPN NOUN NOUN,50.0,25.0,0.0,0.0,0.87,pos
5,Highly recommended,superb product ... like,5,2018-12-01 00:00:00,400,66,466,6,1,0,1.0,0,,0,4,ADJ NOUN PUNCT SCONJ,25.0,0.0,0.0,25.0,0.86,neu
7,Best in the market!,black beauty ... perfect ...,5,2018-04-01 00:00:00,1970,388,2358,5,1,0,,0,,0,5,ADJ NOUN PUNCT ADJ PUNCT,20.0,0.0,0.0,40.0,0.84,pos
8,Must buy!,"Works perfectly fine 1.5 year . 
  great camera .",5,2018-08-01 00:00:00,904,178,1082,9,2,0,,0,,0,9,PROPN ADV ADJ NUM NOUN PUNCT SPACE ADJ NOUN PUNCT,20.0,0.0,10.0,20.0,0.84,neu
10,Simply awesome,nice product thank flipkart,5,2018-11-01 00:00:00,1085,237,1322,5,1,0,,0,,0,4,ADJ NOUN VERB ADJ,25.0,25.0,0.0,50.0,0.82,pos
12,Perfect product!,"happy product delivery 
  North money",5,5 months ago,248,49,297,11,1,0,,0,,0,5,ADJ NOUN NOUN SPACE ADJ NOUN,50.0,0.0,0.0,33.33,0.84,pos
13,Excellent,IPHONE MILLION HEART,5,3 months ago,84,13,97,4,1,0,,4,,0,3,NOUN NUM PROPN,33.33,0.0,0.0,0.0,0.87,pos
16,Pretty good,"early version iphone great change personal . purchase rose gold phone realise go black colour . camera iphone superior sense . phone sleek light weight slippery . delivery promise . thing note , henceforth phone India product .",4,4 months ago,408,97,505,72,6,0,,0,,0,38,ADJ NOUN NOUN ADJ NOUN ADJ PUNCT NOUN VERB ADJ NOUN NOUN VERB ADJ NOUN PUNCT PROPN PROPN ADJ NOUN PUNCT NOUN ADJ ADJ NOUN NOUN PUNCT NOUN NOUN PUNCT NOUN NOUN PUNCT ADV NOUN PROPN NOUN PUNCT,44.74,5.26,2.63,21.05,0.81,pos
